index,set,folder,file_name
0,train,000,000000.jpg
1,train,000,000001.jpg
2,train,000,000002.jpg
3,train,000,000003.jpg
4,train,000,000004.jpg
5,train,000,000005.jpg
6,train,000,000006.jpg
7,train,000,000007.jpg
8,train,000,000008.jpg
9,train,000,000009.jpg
10,train,000,000010.jpg
11,train,000,000011.jpg
12,train,000,000012.jpg
13,train,000,000013.jpg
14,train,000,000014.jpg
15,train,000,000015.jpg
16,train,000,000016.jpg
17,train,000,000017.jpg
18,train,000,000018.jpg
19,train,000,000019.jpg
20,train,000,000020.jpg
21,train,000,000021.jpg
22,train,000,000022.jpg
23,train,000,000023.jpg
24,train,000,000024.jpg
25,train,000,000025.jpg
26,train,000,000026.jpg
27,train,000,000027.jpg
28,train,000,000028.jpg
29,train,000,000029.jpg
30,train,000,000030.jpg
31,train,000,000031.jpg
32,train,000,000032.jpg
33,train,000,000033.jpg
34,train,000,000034.jpg
35,train,000,000035.jpg
36,train,000,000036.jpg
37,train,000,000037.jpg
38,train,000,000038.jpg
39,train,000,000039.jpg
40,train,000,000040.jpg
41,train,000,000041.jpg
42,train,000,000042.jpg
43,train,000,000043.jpg
44,train,000,000044.jpg
45,train,000,000045.jpg
46,train,000,000046.jpg
47,train,000,000047.jpg
48,train,000,000048.jpg
49,train,000,000049.jpg
50,train,000,000050.jpg
51,train,000,000051.jpg
52,train,000,000052.jpg
53,train,000,000053.jpg
54,train,000,000054.jpg
55,train,000,000055.jpg
56,train,000,000056.jpg
57,train,000,000057.jpg
58,train,000,000058.jpg
59,train,000,000059.jpg
60,train,000,000060.jpg
61,train,000,000061.jpg
62,train,000,000062.jpg
63,train,000,000063.jpg
64,train,000,000064.jpg
65,train,000,000065.jpg
66,train,000,000066.jpg
67,train,000,000067.jpg
68,train,000,000068.jpg
69,train,000,000069.jpg
70,train,000,000070.jpg
71,train,000,000071.jpg
72,train,000,000072.jpg
73,train,000,000073.jpg
74,train,000,000074.jpg
75,train,000,000075.jpg
76,train,000,000076.jpg
77,train,000,000077.jpg
78,train,000,000078.jpg
79,train,000,000079.jpg
80,train,000,000080.jpg
81,train,000,000081.jpg
82,train,000,000082.jpg
83,train,000,000083.jpg
84,train,000,000084.jpg
85,train,000,000085.jpg
86,train,000,000086.jpg
87,train,000,000087.jpg
88,train,000,000088.jpg
89,train,000,000089.jpg
90,train,000,000090.jpg
91,train,000,000091.jpg
92,train,000,000092.jpg
93,train,000,000093.jpg
94,train,000,000094.jpg
95,train,001,000000.jpg
96,train,001,000001.jpg
97,train,001,000002.jpg
98,train,001,000003.jpg
99,train,001,000004.jpg
100,train,001,000005.jpg
101,train,001,000006.jpg
102,train,001,000007.jpg
103,train,001,000008.jpg
104,train,001,000009.jpg
105,train,001,000010.jpg
106,train,001,000011.jpg
107,train,001,000012.jpg
108,train,001,000013.jpg
109,train,001,000014.jpg
110,train,001,000015.jpg
111,train,001,000016.jpg
112,train,001,000017.jpg
113,train,001,000018.jpg
114,train,001,000019.jpg
115,train,001,000020.jpg
116,train,001,000021.jpg
117,train,001,000022.jpg
118,train,001,000023.jpg
119,train,001,000024.jpg
120,train,001,000025.jpg
121,train,001,000026.jpg
122,train,001,000027.jpg
123,train,001,000028.jpg
124,train,001,000029.jpg
125,train,001,000030.jpg
126,train,001,000031.jpg
127,train,001,000032.jpg
128,train,001,000033.jpg
129,train,001,000034.jpg
130,train,001,000035.jpg
131,train,001,000036.jpg
132,train,001,000037.jpg
133,train,001,000038.jpg
134,train,001,000039.jpg
135,train,001,000040.jpg
136,train,001,000041.jpg
137,train,001,000042.jpg
138,train,001,000043.jpg
139,train,001,000044.jpg
140,train,001,000045.jpg
141,train,001,000046.jpg
142,train,001,000047.jpg
143,train,001,000048.jpg
144,train,001,000049.jpg
145,train,001,000050.jpg
146,train,001,000051.jpg
147,train,001,000052.jpg
148,train,001,000053.jpg
149,train,001,000054.jpg
150,train,001,000055.jpg
151,train,001,000056.jpg
152,train,001,000057.jpg
153,train,001,000058.jpg
154,train,001,000059.jpg
155,train,001,000060.jpg
156,train,001,000061.jpg
157,train,001,000062.jpg
158,train,001,000063.jpg
159,train,001,000064.jpg
160,train,001,000065.jpg
161,train,001,000066.jpg
162,train,001,000067.jpg
163,train,001,000068.jpg
164,train,001,000069.jpg
165,train,001,000070.jpg
166,train,001,000071.jpg
167,train,001,000072.jpg
168,train,001,000073.jpg
169,train,001,000074.jpg
170,train,001,000075.jpg
171,train,001,000076.jpg
172,train,001,000077.jpg
173,train,001,000078.jpg
174,train,001,000079.jpg
175,train,001,000080.jpg
176,train,001,000081.jpg
177,train,001,000082.jpg
178,train,001,000083.jpg
179,train,001,000084.jpg
180,train,001,000085.jpg
181,train,001,000086.jpg
182,train,001,000087.jpg
183,train,001,000088.jpg
184,train,001,000089.jpg
185,train,001,000090.jpg
186,train,001,000091.jpg
187,train,001,000092.jpg
188,train,001,000093.jpg
189,train,001,000094.jpg
190,train,001,000095.jpg
191,train,001,000096.jpg
192,train,001,000097.jpg
193,train,001,000098.jpg
194,train,001,000099.jpg
195,train,002,000000.jpg
196,train,002,000001.jpg
197,train,002,000002.jpg
198,train,002,000003.jpg
199,train,002,000004.jpg
200,train,002,000005.jpg
201,train,002,000006.jpg
202,train,002,000007.jpg
203,train,002,000008.jpg
204,train,002,000009.jpg
205,train,002,000010.jpg
206,train,002,000011.jpg
207,train,002,000012.jpg
208,train,002,000013.jpg
209,train,002,000014.jpg
210,train,002,000015.jpg
211,train,002,000016.jpg
212,train,002,000017.jpg
213,train,002,000018.jpg
214,train,002,000019.jpg
215,train,002,000020.jpg
216,train,002,000021.jpg
217,train,002,000022.jpg
218,train,002,000023.jpg
219,train,002,000024.jpg
220,train,002,000025.jpg
221,train,002,000026.jpg
222,train,002,000027.jpg
223,train,002,000028.jpg
224,train,002,000029.jpg
225,train,002,000030.jpg
226,train,002,000031.jpg
227,train,002,000032.jpg
228,train,002,000033.jpg
229,train,002,000034.jpg
230,train,002,000035.jpg
231,train,002,000036.jpg
232,train,002,000037.jpg
233,train,002,000038.jpg
234,train,002,000039.jpg
235,train,002,000040.jpg
236,train,002,000041.jpg
237,train,002,000042.jpg
238,train,002,000043.jpg
239,train,002,000044.jpg
240,train,002,000045.jpg
241,train,002,000046.jpg
242,train,002,000047.jpg
243,train,002,000048.jpg
244,train,002,000049.jpg
245,train,002,000050.jpg
246,train,002,000051.jpg
247,train,002,000052.jpg
248,train,002,000053.jpg
249,train,002,000054.jpg
250,train,002,000055.jpg
251,train,002,000056.jpg
252,train,002,000057.jpg
253,train,002,000058.jpg
254,train,002,000059.jpg
255,train,002,000060.jpg
256,train,002,000061.jpg
257,train,002,000062.jpg
258,train,002,000063.jpg
259,train,002,000064.jpg
260,train,002,000065.jpg
261,train,002,000066.jpg
262,train,002,000067.jpg
263,train,002,000068.jpg
264,train,002,000069.jpg
265,train,002,000070.jpg
266,train,002,000071.jpg
267,train,002,000072.jpg
268,train,002,000073.jpg
269,train,002,000074.jpg
270,train,002,000075.jpg
271,train,002,000076.jpg
272,train,002,000077.jpg
273,train,002,000078.jpg
274,train,002,000079.jpg
275,train,002,000080.jpg
276,train,002,000081.jpg
277,train,002,000082.jpg
278,train,002,000083.jpg
279,train,002,000084.jpg
280,train,002,000085.jpg
281,train,002,000086.jpg
282,train,002,000087.jpg
283,train,002,000088.jpg
284,train,002,000089.jpg
285,train,002,000090.jpg
286,train,002,000091.jpg
287,train,002,000092.jpg
288,train,002,000093.jpg
289,train,002,000094.jpg
290,train,002,000095.jpg
